"Banque","Type","Longitude","Latitude","Adresse"
"banque_populaire","cooperative",5.366834,43.295867,"166, quai du Port13002 MARSEILLE"
"banque_populaire","cooperative",5.360327,43.28611,"30, rue d'Endoume13007 MARSEILLE"
"banque_populaire","cooperative",5.367877,43.306102,"2-4, place d'Arvieux13002 MARSEILLE"
"banque_populaire","cooperative",5.386895,43.294265,"53, place Jean Jaurès13005 MARSEILLE"
"banque_populaire","cooperative",5.422467,43.249547,"11, bd du Redon13009 MARSEILLE"
"banque_populaire","cooperative",5.399735,43.24797,"5, rue Emile Zola13009 MARSEILLE"
"banque_populaire","cooperative",5.384373,43.284073,"26, ave du Prado13006 MARSEILLE"
"banque_populaire","cooperative",5.387093,43.270223,"376 AVENUE DU PRADO13008 MARSEILLE"
"banque_populaire","cooperative",5.380652,43.291535,"105, rue de Rome13006 MARSEILLE"
"banque_populaire","cooperative",5.390405,43.274825,"247, ave du Prado13008 MARSEILLE"
"banque_populaire","cooperative",5.45702,43.288752,"25, bd St MarcelLotissement St Marcel Ferroviaire13011 MARSEILLE"
"banque_populaire","cooperative",5.419188,43.303556,"8, pl Caire13012 MARSEILLE"
"banque_populaire","cooperative",5.390492,43.26931,"24, rue Léon Paulet13008 MARSEILLE"
"banque_populaire","cooperative",5.359162,43.347558,"138, avenue de Saint Louis13015 MARSEILLE"
"banque_populaire","cooperative",5.426699,43.281777,"173, Boulevard de Pont de VivauxImmeuble Osmoz13010 MARSEILLE"
"banque_populaire","cooperative",5.382005,43.250593,"152, bd du Sablier13008 MARSEILLE"
"banque_populaire","cooperative",5.37536,43.295435,"12, La Canebière13001 MARSEILLE"
"banque_populaire","cooperative",5.057871,43.401745,"18, ave Frédéric Mistral13500 MARTIGUES"
"banque_populaire","cooperative",5.05415,43.408246,"2, bd du 14 Juillet13500 MARTIGUES"
"banque_populaire","cooperative",5.05319,43.402478,"9, bd Mongin13500 MARTIGUES"
"banque_populaire","cooperative",5.001548,43.583066,"42, avenue Charles de Gaulle13140 MIRAMAS"
"banque_populaire","cooperative",4.802375,43.897933,"4 BOULEVARD DE L'ANCIEN MARCHE13870 ROGNONAS"
"banque_populaire","cooperative",4.830597,43.792407,"8 AVENUE FREDERIC MISTRAL13210 SAINT REMY DE PROVENCE"
"banque_populaire","cooperative",5.530456,43.411975,"Lieudit l'Adrech et Perrusson13119 SAINT SAVOURNIN"
"banque_populaire","cooperative",5.094623,43.640553,"38, bd de la République13300 SALON DE PROVENCE"
"banque_populaire","cooperative",5.106849,43.331146,"34, ave Siméon Gouin13960 SAUSSET LES PINS"
"banque_populaire","cooperative",5.076488,43.746406,"7 PLACE AUGUSTE JAUBERT13560 SENAS"
"banque_populaire","cooperative",4.807275,43.637627,"54, avenue de la République13310 ST MARTIN DE CRAU"
"banque_populaire","cooperative",4.670828,43.809145,"3bis, rue des CharpentiersZAC le Roubian13150 TARASCON"
"banque_populaire","cooperative",5.68076,43.451927,"252 et 263 Pragues NordZA de la Burlière - Lot n°613530 TRETS"
"banque_populaire","cooperative",5.257992,43.527908,"42, avenue Marcel PagnolLieu-dit Le Parterre Sud13880 VELAUX"
"banque_populaire","cooperative",-0.709249,49.279267,"47, rue Saint Patrice14400 BAYEUX"
"banque_populaire","cooperative",-0.707335,49.279133,"6, rue Alain Chartier14400 BAYEUX"
"banque_populaire","cooperative",-0.388618,49.175663,"Le Parc PompidouBd Georges Pompidou14000 CAEN"
"banque_populaire","cooperative",-0.356368,49.180644,"2, pl de la Résistance14000 CAEN"
"banque_populaire","cooperative",-0.356868,49.184525,"23-25, rue des Prairies Saint Gilles14000 CAEN"
"banque_populaire","cooperative",-0.363503,49.182038,"22, rue de Strasbourg14000 CAEN"
"banque_populaire","cooperative",-0.370175,49.181999,"52, rue Ecuyère14000 CAEN"
"banque_populaire","cooperative",-0.337024,49.172056,"26, rue de la Falaise14000 CAEN"
"banque_populaire","cooperative",0.0839,49.360793,"10, ave de la RépubliqueRésidence La Deauvillaise14800 DEAUVILLE"
"banque_populaire","cooperative",-0.102341,49.285253,"Ctre Cial de la Côte FleurieBd Maurice Thorez14160 DIVES SUR MER"
"banque_populaire","cooperative",-0.373466,49.296849,"6, ave de la Basilique14440 DOUVRES LA DELIVRANDE"
