"Banque","Type","Adresse"
"Société Générale","Lucrative","1 RUE DU JUGE FALCONE20200 BASTIA"
"Société Générale","Lucrative","1 RUE DU JUGE FALCONE20200 BASTIA"
"Société Générale","Lucrative","RTE NATIONALE 19320600 BASTIA"
"Société Générale","Lucrative","PL SAINT-NICOLAS20200 BASTIA"
"Société Générale","Lucrative","AV DE BORGO20290 BORGO"
"Société Générale","Lucrative","AVENUE CHRISTOPHE COLOMB20260 CALVI"
"Société Générale","Lucrative","24 CRS PAOLI20250 CORTE"
"Société Générale","Lucrative","RTE NATIONALE 19320600 FURIANI"
"Société Générale","Lucrative","198 ROUTE NATIONALE20240 GHISONACCIA"
"Société Générale","Lucrative","AV PICCIONI20220 L'ILE-ROUSSE"
"Société Générale","Lucrative","PL DU MONUMENT20217 ST FLORENT"
"Société Générale","Lucrative","RESIDENCE SAN NICOLAO20230 MORIANI-PLAGE"
"Société Générale","Lucrative","3 RUE COLONEL REDOUTEY21130 AUXONNE"
"Société Générale","Lucrative","3 5 PL MONGE21200 BEAUNE"
"Société Générale","Lucrative","8 RUE BUFFON21800 CHEVIGNY SAINT SAUVEUR"
"Société Générale","Lucrative","11 RPT DE LA NATION21000 DIJON"
"Société Générale","Lucrative","11 RPT DE LA NATION21000 DIJON"
"Société Générale","Lucrative","152 AV JEAN-JAURES21000 DIJON"
"Société Générale","Lucrative","9 BD CLEMENCEAU21000 DIJON"
"Société Générale","Lucrative","11 RPT DE LA NATION21000 DIJON"
"Société Générale","Lucrative","50 BD JEANNE D'ARC21000 DIJON"
"Société Générale","Lucrative","1 RUE DE LA LIBERTE21000 DIJON"
"Société Générale","Lucrative","13 RPT DE LA NATION21000 DIJON"
"Société Générale","Lucrative","22 AV VICTOR HUGO21000 DIJON"
"Société Générale","Lucrative","9 GRANDE RUE21700 NUITS-ST-GEORGES"
"Société Générale","Lucrative","13 RUE LA FERRONNERIE22100 DINAN"
"Société Générale","Lucrative","8 RUE CLEMENCEAU22430 ERQUY"
"Société Générale","Lucrative","32 PL DU CENTRE22200 GUINGAMP"
"Société Générale","Lucrative","30 RUE CHARLES CARTEL22400 LAMBALLE"
"Société Générale","Lucrative","CTRE CIAL CARREFOUR22360 LANGUEUX"
"Société Générale","Lucrative","4 QU D'AIGUILLON22300 LANNION"
"Société Générale","Lucrative","16 AV DES COMBATTANTS22600 LOUDEAC"
"Société Générale","Lucrative","6 PL LA REPUBLIQUE22500 PAIMPOL"
"Société Générale","Lucrative","4 RUE DE LA POSTE22700 PERROS-GUIREC"
"Société Générale","Lucrative","56 RUE SAINT-GUILLAUME22000 ST-BRIEUC"
"Société Générale","Lucrative","16 QU DE LA REPUBLIQUE22410 ST-QUAY-PORTRIEUX"
"Société Générale","Lucrative","56 RUE SAINT GUILLAUME22000 SAINT BRIEUC"
"Société Générale","Lucrative","3 PL BONNYAUD23000 GUERET"
"Société Générale","Lucrative","64 RUE NEUVE D ARGENSON24100 BERGERAC"
"Société Générale","Lucrative","28 RTE DE RIBERAC24650 CHANCELADE"
"Société Générale","Lucrative","16 CRS M MONTAIGNE24000 PERIGUEUX"
"Société Générale","Lucrative","39 RUE REPUBLIQUE24200 SARLAT-LA-CANEDA"
